row,col,hsa,hs,ha,thsa,ths,tha
18,18,77,77,0,266,258,8
19,18,48,48,0,171,169,2
20,18,232,218,14,858,815,43
22,18,15,14,1,38,37,1
24,18,39,38,1,175,172,3
27,18,3,2,1,10,8,2
30,18,2,2,0,6,6,0
32,18,288,234,54,1311,1177,134
33,18,123,116,7,688,635,53
34,18,2,2,0,13,12,1
35,18,464,448,16,2245,2131,114
36,18,512,512,0,2134,2089,45
37,18,3,2,1,21,15,6
38,18,18,18,0,52,52,0
39,18,66,66,0,205,185,20
40,18,26,17,9,117,85,32
41,18,58,58,0,254,247,7
42,18,76,63,13,365,297,68
43,18,15,15,0,37,33,4
44,18,49,44,5,203,190,13
45,18,10,10,0,28,28,0
48,18,462,462,0,2970,2672,298
49,18,515,474,41,2799,2515,284
53,18,26,1,25,127,5,122
55,18,9,6,3,28,20,8
56,18,2,2,0,21,17,4
57,18,15,14,1,78,72,6
60,18,81,23,58,263,114,149
61,18,2,0,2,23,16,7
62,18,17,14,3,157,122,35
1,19,11,10,1,29,24,5
2,19,935,925,10,3715,3668,47
3,19,1368,1313,55,5797,5444,353
4,19,190,190,0,676,609,67
5,19,585,538,47,2023,1898,125
6,19,265,265,0,1982,1263,719
7,19,547,491,56,2188,1646,542
8,19,116,116,0,1149,636,513
9,19,36,36,0,507,262,245
10,19,79,79,0,591,574,17
11,19,24,24,0,166,156,10
12,19,43,43,0,442,416,26
13,19,56,56,0,235,225,10
14,19,211,193,18,826,747,79
15,19,79,79,0,701,686,15
16,19,224,224,0,862,840,22
17,19,53,53,0,449,431,18
18,19,117,117,0,447,423,24
19,19,79,79,0,285,274,11
20,19,458,445,13,1534,1479,55
