rarity, ship, name, source, image
2, Graf Zeppelin, Waterlogged Graf Zeppelin, https://www.pixiv.net/artworks/63750218, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_waterlogged_graf_zeppelin.jpg
2, Abyssal, White And Black, https://www.pixiv.net/artworks/61695488, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_white_and_black.jpg
2, Uzuki/Yayoi, Yayoi And Uzuki, https://www.pixiv.net/artworks/43037678, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_yayoi_and_uzuki.jpg
2, Yukikaze, Yukikazes Day Off, https://twitter.com/i/web/status/1161230468282384385, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_yukikazes_day_off.jpg
2, Akigumo/Asashimo/Hayashimo/Kazagumo/Kiyoshimo/Makigumo/Naganami/Takanami/Yuugumo, Yuugumo Class, https://twitter.com/i/web/status/676010015921049604, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_yuugumo_class.jpg
1, Abukuma, Abukuma, https://seiga.nicovideo.jp/seiga/im9144665, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_abukuma.jpg
1, Abyssal, Abyssal Headquarters, https://www.pixiv.net/artworks/63740665, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_abyssal_headquarters.jpg
1, Akagi/Akigumo/Mamiya, Airstrip Sushi Bar, https://www.pixiv.net/artworks/52304276, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_airstrip_sushi_bar.jpg
1, Akagi, Akagi-too, https://twitter.com/38runy/status/930810266505244672, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_akagi-too.jpg
1, Akebono, Akebono, https://twitter.com/i/web/status/990137929027629056, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_akebono.jpg
1, Akigumo, Akigumo, https://www.pixiv.net/artworks/39672163, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_akigumo.jpg
1, Akitsu Maru, Akitsu Maru, https://www.pixiv.net/artworks/40787499, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_akitsu_maru.jpg
1, Akitsushima, Akitsushima Lookout, https://www.pixiv.net/artworks/73214251, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_akitsushima_lookout.jpg
1, Akizuki, Akizuki, https://twitter.com/rin7914/status/536112772967178240, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_akizuki.jpg
1, Amatsukaze, Amatsukaze Pose, https://www.pixiv.net/artworks/43258459, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_amatsukaze_pose.jpg
1, Amatsukaze, Amatsukaze Torpedo Twirl, https://www.pixiv.net/artworks/54171824, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_amatsukaze_torpedo_twirl.jpg
1, Arashio, Ara Ara Arashio, https://www.pixiv.net/artworks/70987460, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_ara_ara_arashio.jpg
1, Ark Royal, Ark Royal, https://twitter.com/i/web/status/922048222171820033, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_ark_royal.jpg
1, Asagumo, Asagumo, https://twitter.com/anti_twt/status/627102941497851904, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_asagumo.jpg
1, Asashio, Asashio, https://www.pixiv.net/artworks/54799878, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_asashio.jpg
1, Ushio, Bashful Ushio, https://seiga.nicovideo.jp/seiga/im4458943, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_bashful_ushio.jpg
1, Bismarck, Bismarck, https://www.pixiv.net/artworks/43218841, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_bismarck.jpg
1, Hatsuzuki, Blushing Hatsuzuki, https://www.pixiv.net/artworks/55400832, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_blushing_hatsuzuki.jpg
1, Kongou, British Invaders, https://www.pixiv.net/artworks/40385343, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_british_invaders.jpg
1, Mikazuki, Bunny Mikazuki, https://www.pixiv.net/artworks/67083989, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_bunny_mikazuki.jpg
1, Hatsuzuki, Bunnysuit Hatsuzuki, https://twitter.com/6thbody/status/981184249544888321, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_bunnysuit_hatsuzuki.jpg
1, Hayashimo, Bunnysuit Hayashimo, https://twitter.com/6thbody/status/970680335787704320, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_bunnysuit_hayashimo.jpg
1, Zara, Bunnysuit Zara, https://twitter.com/6thbody/status/1149307710023749632, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_bunnysuit_zara.jpg
1, Amagi, Camouflaged Amagi, https://www.pixiv.net/artworks/48948992, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_camouflaged_amagi.jpg
1, Shoukaku/Zuikaku, Cardiv 5 Sundresses, https://www.pixiv.net/artworks/44552533, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_cardiv_5_sundresses.jpg
1, Amagi, Carrier Amagi, https://www.pixiv.net/artworks/60508045, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_carrier_amagi.jpg
1, Chitose, Carrier Chitose, https://www.pixiv.net/artworks/53149578, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_carrier_chitose.jpg
1, Unryuu, Carrier Unryuu, https://www.pixiv.net/artworks/45961964, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_carrier_unryuu.jpg
1, Zuihou, Carrier Zuihou, https://www.pixiv.net/artworks/42678429, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_carrier_zuihou.jpg
1, Hibiki, Catgirl Hibiki, https://www.pixiv.net/artworks/62943298, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_catgirl_hibiki.jpg
1, Chiyoda, Chiyoda, https://www.pixiv.net/artworks/52440949, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_chiyoda.jpg
1, Naka, Cleaning Duty Naka, https://www.pixiv.net/artworks/47265666, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_cleaning_duty_naka.jpg
1, Colorado, Colorado, https://twitter.com/i/web/status/1182289073538400257, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_colorado.jpg
1, Amatsukaze, Common Amatsukaze, https://www.pixiv.net/artworks/60256390, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_common_amatsukaze.jpg
1, Admiral/Kazagumo, Cooling Off In A Raft, https://www.pixiv.net/artworks/58769396, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/1_cooling_off_in_a_raft.jpg
